iter	Passed	Remaining
458	804	948
459	806	946
460	807	943
461	808	941
462	809	938
463	809	935
464	811	933
465	812	930
466	813	928
467	814	926
468	818	926
469	819	924
470	820	921
471	821	919
472	822	916
473	823	914
474	824	911
475	825	909
476	826	906
477	828	904
478	830	903
479	835	904
480	836	903
481	838	901
482	839	898
483	841	896
484	842	894
485	844	892
486	845	890
487	847	889
488	849	888
489	851	886
490	853	884
491	855	882
492	856	880
493	856	877
494	858	875
495	859	873
496	861	871
497	863	870
498	864	868
499	867	867
500	868	865
501	870	863
502	873	863
503	879	865
504	881	863
505	882	861
506	883	859
507	885	857
508	886	855
509	888	853
510	889	851
511	891	849
512	895	849
513	896	847
514	897	845
515	902	846
516	904	845
517	905	842
518	908	842
519	919	849
520	921	847
521	925	847
522	927	845
523	928	843
524	930	841
525	931	839
526	932	837
527	934	834
528	935	832
529	937	831
530	940	831
531	943	829
532	944	827
533	945	825
534	947	823
535	949	821
536	950	819
537	951	817
538	953	815
539	959	817
540	961	816
541	963	814
542	964	812
543	966	809
544	967	807
545	968	805
546	970	804
547	972	801
548	973	799
549	974	797
550	975	794
551	976	792
552	978	790
553	979	788
554	980	786
555	981	784
556	983	782
557	986	781
558	988	779
559	990	777
560	991	775
561	993	773
562	994	771
563	996	770
564	997	768
565	999	766
566	1001	765
567	1003	762
568	1004	760
569	1005	758
570	1007	756
571	1008	754
572	1010	752
573	1011	750
574	1012	748
575	1013	746
576	1015	744
577	1017	742
578	1018	740
579	1019	738
580	1020	735
581	1021	733
582	1022	731
583	1023	729
584	1024	726
585	1025	724
586	1026	722
587	1027	720
588	1028	717
589	1030	716
590	1032	714
591	1033	712
592	1034	710
593	1035	708
594	1038	706
595	1039	704
596	1040	702
597	1041	700
598	1042	698
599	1044	696
600	1046	694
601	1047	692
602	1048	690
603	1049	687
604	1050	685
605	1051	683
606	1053	681
607	1053	679
608	1054	677
609	1055	675
610	1056	672
611	1058	670
612	1059	668
613	1061	667
614	1062	665
615	1063	662
616	1064	660
617	1065	658
618	1066	656
619	1067	654
620	1068	652
621	1069	650
622	1070	648
623	1071	645
624	1072	643
625	1073	641
626	1076	640
627	1077	638
628	1079	636
629	1080	634
630	1081	632
631	1082	630
632	1083	628
633	1085	626
634	1086	624
635	1087	622
636	1088	620
637	1089	617
638	1092	617
639	1094	615
640	1095	613
641	1095	611
642	1096	609
643	1098	607
644	1099	604
645	1100	602
646	1101	600
647	1102	598
648	1103	596
649	1104	594
650	1106	593
651	1107	591
652	1108	589
653	1109	586
654	1110	585
655	1112	583
656	1113	581
657	1114	579
658	1115	577
659	1116	575
660	1117	573
661	1119	571
662	1122	570
663	1124	568
664	1125	567
665	1126	564
666	1127	562
667	1128	560
668	1129	558
669	1130	556
670	1131	554
671	1132	552
672	1133	550
673	1138	550
674	1140	548
675	1141	546
676	1146	547
677	1148	545
678	1150	543
679	1155	543
680	1156	541
681	1157	539
682	1161	539
683	1163	537
684	1164	535
685	1165	533
686	1169	532
687	1170	530
688	1171	528
689	1176	528
690	1178	526
691	1179	524
692	1180	523
693	1185	522
694	1186	520
695	1187	518
696	1190	517
697	1193	516
698	1194	514
699	1195	512
700	1196	510
701	1200	509
702	1203	508
703	1205	506
704	1207	505
705	1208	503
706	1209	501
707	1213	500
708	1214	498
709	1215	496
710	1217	494
711	1220	493
712	1222	492
713	1226	491
714	1227	489
715	1228	487
716	1232	486
717	1234	484
718	1235	482
719	1236	480
720	1237	478
721	1238	476
722	1244	476
723	1249	476
724	1251	474
725	1252	472
726	1253	470
727	1258	470
728	1259	468
729	1260	466
730	1264	465
731	1266	463
732	1267	461
733	1268	459
734	1269	457
735	1273	456
736	1275	455
737	1278	454
738	1280	452
739	1281	450
740	1282	448
741	1283	446
742	1286	444
743	1288	443
744	1289	441
745	1290	439
746	1292	437
747	1294	436
748	1295	434
749	1296	432
750	1297	430
751	1302	429
752	1303	427
753	1307	426
754	1308	424
755	1310	422
756	1311	420
757	1312	418
758	1316	418
759	1317	416
760	1318	414
761	1320	412
762	1322	410
763	1323	408
764	1324	406
765	1325	404
766	1330	404
767	1332	402
768	1335	401
769	1339	399
770	1340	398
771	1341	396
772	1347	395
773	1349	393
774	1353	392
775	1354	390
776	1356	389
777	1359	388
778	1361	386
779	1362	384
780	1363	382
781	1366	380
782	1368	379
783	1369	377
784	1370	375
785	1374	374
786	1376	372
787	1377	370
788	1380	369
789	1382	367
790	1383	365
791	1384	363
792	1385	361
793	1389	360
794	1390	358
795	1391	356
796	1393	354
797	1394	352
798	1395	350
799	1396	349
800	1398	347
801	1399	345
802	1400	343
803	1401	341
804	1404	340
805	1405	338
806	1409	337
807	1410	335
808	1411	333
809	1412	331
810	1413	329
811	1414	327
812	1415	325
813	1416	323
814	1419	322
815	1420	320
816	1422	318
817	1423	316
818	1424	314
819	1425	313
820	1427	311
821	1428	309
822	1429	307
823	1430	305
824	1431	303
825	1434	302
826	1436	300
827	1437	298
828	1438	296
829	1439	294
830	1440	292
831	1441	291
832	1442	289
833	1443	287
834	1444	285
835	1445	283
836	1446	281
837	1450	280
838	1453	278
839	1454	277
840	1455	275
841	1457	273
842	1458	271
843	1459	269
844	1460	267
845	1461	266
846	1462	264
847	1466	262
848	1468	261
849	1469	259
850	1470	257
851	1471	255
852	1472	253
853	1473	251
854	1474	250
855	1476	248
856	1477	246
857	1482	245
858	1484	243
859	1486	241
860	1487	240
861	1488	238
862	1489	236
863	1490	234
864	1491	232
865	1492	230
866	1496	229
867	1498	227
868	1500	226
869	1501	224
870	1502	222
871	1504	220
872	1505	218
873	1506	217
874	1507	215
875	1511	213
876	1512	212
877	1513	210
878	1514	208
879	1515	206
880	1516	204
881	1518	203
882	1520	201
883	1521	199
884	1522	197
885	1523	195
886	1525	194
887	1527	192
888	1528	190
889	1529	189
890	1530	187
891	1531	185
892	1533	183
893	1534	181
894	1535	180
895	1536	178
896	1537	176
897	1538	174
898	1541	173
899	1542	171
900	1543	169
901	1544	167
902	1545	166
903	1546	164
904	1547	162
905	1549	160
906	1550	158
907	1551	157
908	1553	155
909	1555	153
910	1556	152
911	1557	150
912	1561	148
913	1563	147
914	1564	145
915	1565	143
916	1566	141
917	1567	140
918	1568	138
919	1571	136
920	1572	134
921	1573	133
922	1574	131
923	1575	129
924	1576	127
925	1577	126
926	1578	124
927	1579	122
928	1580	120
929	1581	119
930	1582	117
931	1586	115
932	1587	114
933	1588	112
934	1589	110
935	1591	108
936	1592	107
937	1593	105
938	1594	103
939	1595	101
940	1596	100
941	1597	98
942	1598	96
943	1601	94
944	1602	93
945	1604	91
946	1605	89
947	1607	88
948	1608	86
949	1609	84
950	1610	82
951	1611	81
952	1612	79
953	1613	77
954	1619	76
955	1620	74
956	1621	72
957	1622	71
958	1624	69
959	1625	67
960	1626	65
961	1627	64
962	1628	62
963	1629	60
964	1632	59
965	1633	57
966	1634	55
967	1635	54
968	1636	52
969	1637	50
970	1638	48
971	1639	47
972	1640	45
973	1641	43
974	1642	42
975	1643	40
976	1646	38
977	1647	37
978	1648	35
979	1649	33
980	1650	31
981	1651	30
982	1652	28
983	1653	26
984	1654	25
985	1655	23
986	1656	21
987	1657	20
988	1658	18
989	1661	16
990	1662	15
991	1663	13
992	1664	11
993	1665	10
994	1666	8
995	1667	6
996	1668	5
997	1669	3
998	1670	1
999	1671	0
